Country,2022_Valuation,2023_Valuation,2024_Valuation,Avg Startup CAGR,Lat,Lng,Size,2022-23 CAGR,2023-24 CAGR,Artificial intelligence,E-commerce & direct-to-consumer,Fintech,Internet software & services,Data management & analytics,Edtech,Hardware,Consumer & retail,Health,"Supply chain, logistics, & delivery",Auto & transportation,Cybersecurity,Mobile & telecommunications,Travel,Internet,2022 Count,2023 Count,2024 Count
Argentina,2.45,2.45,2.45,0.0,-34.705637,-58.5314494,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Australia,6.8,6.925,5.12,3.2487500000000002,-30.8878235625,146.61856115,3.2487500000000002,0.01838235294117647,-0.2606498194945848,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,8,8,9
Austria,3.805,3.805,3.805,0.0,48.1179069,16.181831,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2
Belgium,2.983333333333333,3.36,3.36,7.373333333333334,50.81168183333333,4.1631531,7.373333333333334,0.12625698324022358,0.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3
Bermuda,1.6,1.6,1.6,0.0,32.2905093,-64.7889323,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Brazil,2.4425,2.4425,2.3525,-1.815625,-24.32274540625,-47.65997923125,1.815625,0.0,-0.03684749232343904,1,5,6,0,0,0,0,0,0,2,0,0,1,0,0,17,16,17
Canada,2.6683333333333334,2.6683333333333334,2.6683333333333334,0.0,45.69734495555556,-93.51584140555556,0.0,0.0,0.0,1,1,3,6,0,1,0,0,0,1,0,3,0,1,0,19,21,21
Chile,1.25,1.25,1.25,0.0,-33.4785698,-70.6920527,0.0,0.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2
China,4.154228187919463,4.509463087248322,4.509463087248322,0.46610738255033557,32.4882905,116.6665451818792,0.46610738255033557,0.0855116481954182,0.0,12,27,5,14,2,11,16,6,8,10,14,1,11,3,0,174,173,168
Colombia,2.466666666666667,2.466666666666667,2.466666666666667,0.0,4.4711754,-74.2235137,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3
Croatia,1.5,1.5,1.5,0.0,45.362507,14.77790285,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,2
Czech Republic,1.2,1.2,1.2,0.0,49.9419006,14.2244355,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
Denmark,3.35,3.35,3.35,0.0,55.75817605,11.2317385,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
Ecuador,1.5,1.5,1.5,0.0,-0.3801641,-78.6723274,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Estonia,7.0200000000000005,8.059999999999999,8.059999999999999,5.772,59.35180760000001,24.55017,5.772,0.1481481481481479,0.0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,2
Finland,3.115,3.115,3.115,0.0,61.147618625,24.544957075,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,4,4,4
France,2.496521739130435,2.495217391304348,2.472608695652174,-0.7695652173913045,48.726982,2.422306165217391,0.7695652173913045,-0.0005224660397075316,-0.0090608119881513,1,6,5,2,0,0,2,0,2,1,1,0,0,0,0,24,25,26
Germany,2.851153846153846,2.8173076923076925,2.8442307692307693,1.018846153846154,51.134563353846154,12.3964875,1.018846153846154,-0.011871037366788002,0.009556313993174026,0,5,5,4,1,0,1,1,1,2,2,0,0,2,0,29,30,30
Hong Kong,1.7249999999999999,1.7249999999999999,1.7249999999999999,0.0,27.400800525,62.996816075,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,7,7,6
India,3.008135593220339,2.8527118644067797,2.8252542372881355,0.15237288135593222,18.202266628813558,76.19096588305085,0.15237288135593222,-0.051667793554203235,-0.009625096548036404,0,15,14,12,1,6,0,0,1,5,1,0,1,1,1,70,70,71
Indonesia,1.5216666666666665,1.5216666666666665,1.5216666666666665,0.0,-6.374457500000001,106.3146732,0.0,0.0,0.0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,7,8,7
Ireland,1.675,1.675,1.675,0.0,53.187509799999994,-6.5350799166666675,0.0,0.0,0.0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,6,6,7
Israel,2.3844444444444446,2.606666666666667,2.6344444444444446,2.1466666666666665,32.041540761111115,34.793389005555554,2.1466666666666665,0.09319664492078289,0.010656436487638496,2,0,1,2,1,0,2,0,0,2,0,6,1,0,0,22,24,25
Italy,1.0,1.0,1.0,0.0,45.3867381,9.0408867,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
Japan,1.47,1.47,1.47,0.0,35.99702966666666,139.26286876666666,0.0,0.0,0.0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,6,7,7
Lithuania,3.0650000000000004,3.0650000000000004,3.765,18.465,54.5689058,25.0245351,18.465,0.0,0.22838499184339303,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2
Luxembourg,2.0,2.0,2.0,0.0,49.5477053,6.0374039,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Malaysia,1.7,1.7,1.7,0.0,2.4045722,100.3875093,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Mexico,2.3375,2.3375,2.3375,0.0,21.3679770625,-101.164048625,0.0,0.0,0.0,0,2,5,0,0,0,0,0,0,1,0,0,0,0,0,8,8,8
Netherlands,3.2085714285714286,3.2085714285714286,3.18,-0.7328571428571429,52.2781742,4.7287776,0.7328571428571429,0.0,-0.008904719501335676,0,1,4,0,0,0,1,0,0,0,0,0,1,0,0,7,7,9
Nigeria,2.0,2.0,2.0,0.0,6.2950575,3.2341795,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
